region,soil_type,crop_type,season,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,evapotranspiration,soil_moisture_pct,should_irrigate,region_enc,soil_enc,crop_enc,season_enc
Punjab,Silt,Sugarcane,Zaid,23.5,45.3,0.0,18.7,6.35,44.0,1,13,6,2,2
Punjab,Silt,Vegetables,Zaid,24.2,45.7,0.0,16.2,5.8,44.8,0,13,6,3,2
Punjab,Loamy,Sugarcane,Zaid,25.3,69.7,1.3,16.6,5.63,45.2,1,13,3,2,2
Punjab,Loamy,Rice,Zaid,25.5,67.7,0.0,16.0,6.31,41.5,1,13,3,1,2
Punjab,Alluvial,Vegetables,Zaid,26.2,58.7,0.0,9.7,5.88,43.2,0,13,0,3,2
Punjab,Silt,Rice,Zaid,27.9,50.6,0.0,17.4,5.92,44.6,1,13,6,1,2
Punjab,Loamy,Vegetables,Zaid,29.9,44.3,0.0,14.8,6.58,41.1,0,13,3,3,2
Punjab,Alluvial,Rice,Zaid,31.2,58.2,0.0,16.0,7.38,40.9,1,13,0,1,2
Punjab,Loamy,Sugarcane,Zaid,30.8,52.7,0.0,18.1,6.76,40.9,1,13,3,2,2
Punjab,Silt,Wheat,Zaid,29.0,55.5,0.0,18.7,5.77,44.8,0,13,6,4,2
Punjab,Silt,Vegetables,Zaid,26.7,47.0,0.2,25.3,5.44,45.7,0,13,6,3,2
Punjab,Loamy,Wheat,Zaid,25.6,65.4,0.0,18.0,5.37,42.9,0,13,3,4,2
Punjab,Loamy,Sugarcane,Zaid,26.8,62.8,0.0,12.5,5.52,42.7,1,13,3,2,2
Punjab,Silt,Wheat,Zaid,28.7,61.9,0.0,11.8,6.16,44.3,0,13,6,4,2
Punjab,Loamy,Wheat,Zaid,29.9,74.1,0.0,15.7,6.52,41.2,0,13,3,4,2
Punjab,Silt,Wheat,Zaid,30.7,95.2,0.0,21.8,6.72,43.4,0,13,6,4,2
Punjab,Alluvial,Sugarcane,Zaid,30.3,47.9,0.0,16.7,6.55,42.2,1,13,0,2,2
Punjab,Alluvial,Rice,Zaid,29.8,47.7,0.1,16.8,6.3,42.8,1,13,0,1,2
Punjab,Loamy,Sugarcane,Zaid,30.5,55.7,0.0,35.5,9.06,37.4,1,13,3,2,2
Punjab,Alluvial,Wheat,Zaid,30.2,31.6,0.0,27.2,8.06,39.9,0,13,0,4,2
Punjab,Alluvial,Rice,Zaid,29.7,54.0,0.0,18.0,6.21,42.7,1,13,0,1,2
Punjab,Alluvial,Sugarcane,Zaid,29.2,79.2,0.0,10.8,6.34,42.5,1,13,0,2,2
Punjab,Alluvial,Sugarcane,Zaid,29.8,39.3,0.0,12.2,6.7,41.9,1,13,0,2,2
Punjab,Alluvial,Rice,Zaid,29.7,53.9,0.0,13.5,5.82,43.3,1,13,0,1,2
Punjab,Silt,Wheat,Zaid,30.9,63.9,0.0,18.2,8.28,41.1,0,13,6,4,2
Punjab,Silt,Rice,Zaid,31.0,57.4,0.0,28.6,7.33,42.5,1,13,6,1,2
Punjab,Alluvial,Wheat,Zaid,31.2,59.4,0.0,13.5,6.17,42.7,0,13,0,4,2
Punjab,Silt,Wheat,Zaid,31.5,59.8,0.0,13.0,7.09,42.9,0,13,6,4,2
Punjab,Alluvial,Sugarcane,Zaid,31.7,80.7,0.0,21.0,8.31,39.5,1,13,0,2,2
Punjab,Loamy,Wheat,Zaid,32.5,37.9,0.0,18.1,7.81,39.3,0,13,3,4,2
Punjab,Silt,Wheat,Zaid,31.5,53.9,0.0,19.6,7.44,42.3,0,13,6,4,2
Punjab,Loamy,Sugarcane,Zaid,27.8,66.6,0.0,24.0,4.72,43.9,1,13,3,2,2
Punjab,Silt,Vegetables,Zaid,27.1,63.9,3.4,22.5,4.82,53.1,0,13,6,3,2
Punjab,Loamy,Sugarcane,Zaid,26.6,96.9,16.0,19.8,3.87,77.2,1,13,3,2,2
Punjab,Silt,Rice,Zaid,25.7,76.3,0.3,12.4,3.61,48.7,1,13,6,1,2
Punjab,Silt,Sugarcane,Zaid,27.4,33.4,0.0,10.8,5.25,45.6,1,13,6,2,2
Punjab,Loamy,Vegetables,Zaid,28.2,41.5,0.0,15.5,5.29,43.1,0,13,3,3,2
Punjab,Silt,Vegetables,Zaid,27.8,75.7,2.5,15.3,4.49,51.8,0,13,6,3,2
Punjab,Loamy,Vegetables,Zaid,28.1,73.5,0.2,21.2,4.61,44.5,0,13,3,3,2
Punjab,Silt,Rice,Zaid,28.8,68.3,0.0,13.5,4.62,46.6,1,13,6,1,2
Punjab,Alluvial,Wheat,Zaid,29.1,81.1,0.1,18.1,5.11,44.5,0,13,0,4,2
Punjab,Silt,Wheat,Zaid,28.6,53.8,0.0,24.6,5.63,45.1,0,13,6,4,2
Punjab,Alluvial,Rice,Zaid,30.0,54.1,0.0,14.1,6.01,43.0,1,13,0,1,2
Punjab,Silt,Rice,Zaid,30.6,54.4,0.0,7.8,5.84,44.7,1,13,6,1,2
Punjab,Alluvial,Wheat,Zaid,31.4,54.4,0.0,11.6,5.96,43.1,0,13,0,4,2
Punjab,Loamy,Vegetables,Zaid,31.6,64.4,0.0,18.9,6.26,41.6,0,13,3,3,2
Punjab,Alluvial,Vegetables,Zaid,32.2,100.0,0.0,12.5,6.69,42.0,0,13,0,3,2
Punjab,Alluvial,Vegetables,Zaid,32.9,88.0,0.0,16.0,7.29,41.1,0,13,0,3,2
Punjab,Silt,Vegetables,Zaid,30.6,54.1,1.7,28.6,6.43,47.3,0,13,6,3,2
Punjab,Alluvial,Wheat,Zaid,33.3,67.3,0.0,15.9,6.71,41.9,0,13,0,4,2
Punjab,Loamy,Vegetables,Zaid,32.8,66.3,0.8,24.6,6.44,42.9,0,13,3,3,2
Punjab,Loamy,Vegetables,Zaid,32.4,54.9,0.0,21.9,7.7,39.5,1,13,3,3,2
Punjab,Loamy,Wheat,Zaid,33.0,69.2,0.0,20.5,7.3,40.0,0,13,3,4,2
Punjab,Alluvial,Rice,Zaid,31.1,65.4,10.4,20.2,5.87,64.0,1,13,0,1,2
Punjab,Silt,Vegetables,Zaid,28.5,100.0,20.4,22.0,6.0,85.3,0,13,6,3,2
Punjab,Silt,Sugarcane,Zaid,29.7,60.4,0.0,8.1,5.44,45.3,1,13,6,2,2
Punjab,Alluvial,Vegetables,Zaid,31.2,56.6,0.0,10.3,5.63,43.6,0,13,0,3,2
Punjab,Loamy,Wheat,Zaid,31.3,37.2,0.1,12.8,5.76,42.6,0,13,3,4,2
Punjab,Silt,Vegetables,Zaid,31.0,62.4,0.0,12.9,5.82,44.8,0,13,6,3,2
Punjab,Loamy,Sugarcane,Zaid,30.2,42.1,0.0,20.4,5.99,42.0,1,13,3,2,2
Punjab,Silt,Rice,Zaid,30.5,53.7,0.0,19.8,6.71,43.4,1,13,6,1,2
Punjab,Alluvial,Wheat,Kharif,29.5,61.3,0.1,17.2,6.21,42.9,0,13,0,4,0
Punjab,Loamy,Rice,Kharif,29.3,42.1,0.0,12.6,5.78,42.3,1,13,3,1,0
Punjab,Loamy,Vegetables,Kharif,27.7,70.9,1.6,21.7,6.19,44.9,0,13,3,3,0
Punjab,Silt,Rice,Kharif,26.7,78.6,0.0,16.5,5.37,45.4,1,13,6,1,0
Punjab,Loamy,Wheat,Kharif,28.6,57.6,0.0,13.4,5.96,42.1,0,13,3,4,0
Punjab,Loamy,Wheat,Kharif,30.2,75.6,0.0,9.0,5.83,42.3,0,13,3,4,0
Punjab,Loamy,Wheat,Kharif,32.3,48.9,0.0,10.8,6.0,42.0,0,13,3,4,0
Punjab,Loamy,Sugarcane,Kharif,33.7,56.7,0.0,12.5,6.88,40.7,1,13,3,2,0
Punjab,Loamy,Wheat,Kharif,34.3,51.8,0.0,10.9,6.64,41.0,0,13,3,4,0
Punjab,Loamy,Vegetables,Kharif,34.9,71.7,0.0,12.0,7.2,40.2,0,13,3,3,0
Punjab,Alluvial,Sugarcane,Kharif,35.5,35.9,0.0,11.2,6.9,41.6,1,13,0,2,0
Punjab,Loamy,Vegetables,Kharif,35.9,53.6,0.0,15.3,7.01,40.5,0,13,3,3,0
Punjab,Alluvial,Wheat,Kharif,35.8,62.2,0.4,19.8,7.53,41.5,0,13,0,4,0
Punjab,Silt,Wheat,Kharif,34.8,39.2,0.0,15.1,6.74,43.4,0,13,6,4,0
Punjab,Loamy,Sugarcane,Kharif,34.8,43.1,0.0,14.9,5.84,42.2,1,13,3,2,0
Punjab,Silt,Wheat,Kharif,31.5,56.3,1.3,15.6,3.73,50.5,0,13,6,4,0
Punjab,Silt,Rice,Kharif,28.8,48.4,1.7,12.0,2.88,52.6,1,13,6,1,0
Punjab,Alluvial,Rice,Kharif,31.7,52.6,0.0,9.7,5.75,43.4,1,13,0,1,0
Punjab,Silt,Rice,Kharif,33.1,80.9,0.0,10.9,5.86,44.7,1,13,6,1,0
Punjab,Loamy,Sugarcane,Kharif,33.0,55.3,0.8,16.2,5.9,43.8,1,13,3,2,0
Punjab,Alluvial,Sugarcane,Kharif,32.5,13.3,2.3,13.5,5.39,48.5,1,13,0,2,0
Punjab,Silt,Wheat,Kharif,30.5,82.0,16.4,14.0,3.51,81.0,0,13,6,4,0
Punjab,Silt,Sugarcane,Kharif,30.5,99.8,11.2,17.8,4.82,68.7,1,13,6,2,0
Punjab,Silt,Sugarcane,Kharif,31.5,55.6,1.9,13.4,5.23,49.5,1,13,6,2,0
Punjab,Silt,Rice,Kharif,29.9,89.7,12.2,17.2,3.2,73.1,0,13,6,1,0
Punjab,Silt,Vegetables,Kharif,29.1,94.7,20.2,13.7,2.99,89.4,0,13,6,3,0
Punjab,Alluvial,Wheat,Kharif,29.6,100.0,14.4,14.7,3.69,75.3,0,13,0,4,0
Punjab,Silt,Vegetables,Kharif,30.1,52.8,10.0,17.8,4.82,66.3,0,13,6,3,0
Punjab,Silt,Rice,Kharif,28.7,100.0,19.0,16.7,4.23,85.2,0,13,6,1,0
Punjab,Silt,Vegetables,Kharif,28.0,100.0,12.1,17.4,3.14,73.0,0,13,6,3,0
Punjab,Silt,Vegetables,Kharif,28.2,79.1,10.8,15.0,3.45,69.9,0,13,6,3,0
Punjab,Loamy,Rice,Kharif,29.9,77.3,1.4,11.3,4.81,46.6,1,13,3,1,0
Punjab,Silt,Vegetables,Kharif,30.4,62.2,3.1,13.6,4.84,52.4,0,13,6,3,0
Punjab,Alluvial,Vegetables,Kharif,30.5,82.8,2.3,14.1,4.64,49.6,0,13,0,3,0
Punjab,Loamy,Sugarcane,Kharif,30.8,80.8,9.3,16.5,5.0,62.1,1,13,3,2,0
Punjab,Loamy,Sugarcane,Kharif,29.2,73.5,10.3,16.8,3.39,66.5,1,13,3,2,0
Punjab,Silt,Vegetables,Kharif,30.0,75.3,14.0,9.5,4.85,74.2,0,13,6,3,0
Punjab,Alluvial,Vegetables,Kharif,29.4,60.8,9.6,9.6,3.79,65.5,0,13,0,3,0
Punjab,Alluvial,Wheat,Kharif,28.6,89.5,12.4,16.5,3.08,72.2,0,13,0,4,0
Punjab,Loamy,Wheat,Kharif,27.7,84.3,10.7,14.9,3.62,67.0,0,13,3,4,0
Punjab,Silt,Vegetables,Kharif,29.0,58.8,0.1,8.7,4.7,46.7,0,13,6,3,0
Punjab,Silt,Wheat,Kharif,29.1,56.5,0.0,8.7,3.33,48.5,0,13,6,4,0
Punjab,Loamy,Vegetables,Kharif,29.6,62.8,0.2,8.3,2.95,47.0,0,13,3,3,0
Punjab,Alluvial,Sugarcane,Kharif,28.0,31.8,2.0,12.0,2.31,52.5,1,13,0,2,0
Punjab,Silt,Rice,Kharif,28.5,50.5,5.2,19.1,4.16,57.7,1,13,6,1,0
Punjab,Alluvial,Wheat,Kharif,28.4,85.3,2.8,24.2,4.02,51.6,0,13,0,4,0
Punjab,Loamy,Sugarcane,Kharif,29.0,53.3,2.0,17.6,4.26,48.6,1,13,3,2,0
Punjab,Loamy,Sugarcane,Kharif,29.2,57.2,1.6,10.2,3.97,48.2,1,13,3,2,0
Punjab,Loamy,Sugarcane,Kharif,30.0,40.6,0.0,10.5,5.04,43.4,1,13,3,2,0
Punjab,Alluvial,Vegetables,Kharif,30.5,48.6,0.0,9.2,4.85,44.7,0,13,0,3,0
Punjab,Silt,Rice,Kharif,28.8,67.2,1.1,15.8,3.59,50.3,1,13,6,1,0
Punjab,Alluvial,Sugarcane,Kharif,27.3,100.0,23.6,13.0,2.26,95.0,0,13,0,2,0
Punjab,Alluvial,Wheat,Kharif,28.6,66.7,1.9,11.3,3.86,50.0,0,13,0,4,0
Punjab,Alluvial,Sugarcane,Kharif,29.0,83.2,1.8,8.7,4.71,48.5,1,13,0,2,0
Punjab,Alluvial,Rice,Kharif,29.8,67.6,0.0,9.0,4.78,44.8,1,13,0,1,0
Punjab,Silt,Sugarcane,Kharif,30.5,86.4,6.7,7.7,4.69,59.9,1,13,6,2,0
Punjab,Silt,Rice,Kharif,31.1,50.8,0.3,9.9,4.38,47.5,1,13,6,1,0
Punjab,Silt,Rice,Kharif,31.0,52.0,0.6,13.9,4.97,47.2,1,13,6,1,0
Punjab,Alluvial,Vegetables,Kharif,29.2,92.1,7.6,16.0,3.93,61.3,0,13,0,3,0
Punjab,Loamy,Wheat,Kharif,28.0,100.0,23.5,15.2,2.1,94.8,0,13,3,4,0
Punjab,Loamy,Rice,Kharif,27.4,84.9,27.4,14.3,2.4,95.0,0,13,3,1,0
Punjab,Silt,Vegetables,Kharif,27.8,68.3,4.4,13.9,2.93,57.9,0,13,6,3,0
Punjab,Alluvial,Wheat,Kharif,28.0,73.0,10.7,11.3,3.84,67.6,0,13,0,4,0
Punjab,Alluvial,Rice,Kharif,28.9,51.8,0.6,14.0,4.55,46.4,1,13,0,1,0
Punjab,Alluvial,Sugarcane,Kharif,28.9,62.7,1.2,15.9,4.55,47.6,1,13,0,2,0
Punjab,Silt,Sugarcane,Kharif,28.6,70.2,6.5,18.9,4.43,59.9,1,13,6,2,0
Punjab,Loamy,Vegetables,Kharif,28.0,62.9,1.9,15.6,4.29,48.4,0,13,3,3,0
Punjab,Silt,Wheat,Kharif,28.8,49.2,0.3,11.3,4.73,47.0,0,13,6,4,0
Punjab,Alluvial,Rice,Kharif,30.4,70.8,0.3,11.6,4.98,45.1,1,13,0,1,0
Punjab,Silt,Wheat,Kharif,29.7,80.0,0.0,14.7,4.06,47.4,0,13,6,4,0
Punjab,Loamy,Sugarcane,Kharif,30.4,53.4,0.4,10.2,4.73,44.7,1,13,3,2,0
Punjab,Loamy,Wheat,Kharif,31.1,64.6,0.1,11.3,3.64,45.7,0,13,3,4,0
Punjab,Silt,Sugarcane,Kharif,28.6,87.4,22.9,19.3,3.3,94.3,0,13,6,2,0
Punjab,Loamy,Rice,Kharif,29.7,61.9,0.0,7.4,2.82,46.8,1,13,3,1,0
Punjab,Loamy,Vegetables,Kharif,27.8,100.0,33.0,11.4,1.87,95.0,0,13,3,3,0
Punjab,Loamy,Rice,Kharif,28.2,61.9,0.9,7.5,3.94,46.9,1,13,3,1,0
Punjab,Silt,Rice,Kharif,28.9,70.5,0.7,10.7,4.32,48.4,1,13,6,1,0
Punjab,Silt,Sugarcane,Kharif,28.9,69.0,0.3,12.5,3.88,48.3,1,13,6,2,0
Punjab,Silt,Wheat,Kharif,27.5,100.0,14.4,10.6,2.03,79.3,0,13,6,4,0
Punjab,Loamy,Wheat,Kharif,28.9,49.6,2.4,9.9,3.79,50.1,0,13,3,4,0
Punjab,Loamy,Sugarcane,Kharif,28.0,48.6,1.1,14.1,4.32,46.7,1,13,3,2,0
Punjab,Silt,Rice,Kharif,29.0,52.5,0.0,8.7,4.64,46.5,1,13,6,1,0
Punjab,Silt,Vegetables,Kharif,29.8,70.3,0.4,9.2,4.61,47.4,0,13,6,3,0
Punjab,Silt,Sugarcane,Kharif,28.5,74.9,1.3,17.3,3.77,50.4,1,13,6,2,0
Punjab,Loamy,Vegetables,Kharif,26.6,95.7,21.9,13.9,2.2,91.5,0,13,3,3,0
Punjab,Loamy,Wheat,Kharif,24.1,100.0,46.2,19.4,0.98,95.0,0,13,3,4,0
Punjab,Alluvial,Rice,Kharif,25.9,100.0,48.3,24.6,1.74,95.0,0,13,0,1,0
Punjab,Silt,Rice,Kharif,27.7,100.0,16.3,14.8,3.8,80.4,0,13,6,1,0
